Comparison,Best Model Mean,Other Model Mean,Mean Difference,t-statistic,p-value,Cohen's d,Significant?,Interpretation
XGBoost vs Logistic Regression,0.8449552379187931,0.5,0.3449552379187931,68.10881239048916,2.7842878449752854e-07,48.16020309987723,✅ Yes,Model 1 is significantly better
XGBoost vs Random Forest,0.8449552379187931,0.8427609372699238,0.002194300648869274,2.645093452943734,0.057274589157267006,0.20925550264060358,❌ No,No significant difference
XGBoost vs LightGBM,0.8449552379187931,0.8427940985096349,0.002161139409158186,1.3507933188833798,0.24811834119898082,0.1985911568220104,❌ No,No significant difference
