Metric,Mean,95% CI Lower,95% CI Upper,CI Width
Accuracy,0.6245535841022002,0.6004258339247693,0.6493967352732435,0.04897090134847415
Precision,0.40924242471545985,0.3755542439481897,0.4425958016646618,0.06704155771647208
Recall,0.9307696138005096,0.9032258064516129,0.9558441558441558,0.05261834939254295
F1,0.5677866369973938,0.5348540229219924,0.6017660710270583,0.0669120481050659
ROC-AUC,0.8383814452399636,0.8176031210513326,0.8602606694079508,0.04265754835661817
