Segment,N,Churn Rate,Precision,Recall,F1,FPR
High ($70-90),365,0.38904109589041097,0.5232558139534884,0.9507042253521126,0.675,0.5515695067264574
Medium ($35-70),362,0.2430939226519337,0.35807860262008734,0.9318181818181818,0.5173501577287065,0.5364963503649635
Low (<$35),349,0.12034383954154727,0.319672131147541,0.9285714285714286,0.47560975609756106,0.2703583061889251
Very High (>$90),333,0.3063063063063063,0.38016528925619836,0.9019607843137255,0.5348837209302326,0.6493506493506493
