Comparison,Best Model Mean,Other Model Mean,Mean Difference,t-statistic,p-value,Cohen's d,Significant?,Interpretation
XGBoost vs Logistic Regression,0.8449502887643341,0.5,0.3449502887643341,63.56841761024563,3.668339283451994e-07,44.94965916150303,✅ Yes,Model 1 is significantly better
XGBoost vs Random Forest,0.8449502887643341,0.8427609372699238,0.002189351494410241,2.8952867261383246,0.044327024141714834,0.2019317534829865,✅ Yes,Model 1 is significantly better
XGBoost vs LightGBM,0.8449502887643341,0.8427940985096349,0.002156190254699153,1.6157533352321267,0.1814516709328317,0.1920776787056352,❌ No,No significant difference
