Segment,N,Churn Rate,Precision,Recall,F1,FPR
Male,722,0.25069252077562326,0.3870967741935484,0.9281767955801105,0.5463414634146341,0.49168207024029575
Female,687,0.28093158660844253,0.4316546762589928,0.9326424870466321,0.5901639344262295,0.4797570850202429
