Model,Accuracy,Precision,Recall,F1,ROC-AUC
Naive (Majority Class),0.7345635202271115,0.0,0.0,0.0,0.5
Stratified Random,0.6217175301632364,0.2891246684350133,0.2914438502673797,0.29027962716378164,0.5162533260998735
Rule-Based (MTM + <12mo),0.2654364797728886,0.2654364797728886,1.0,0.4195176668536175,
