Segment,N,Churn Rate,Precision,Recall,F1,FPR
>48 months,450,0.07777777777777778,0.18045112781954886,0.6857142857142857,0.2857142857142857,0.26265060240963856
<12 months,446,0.4820627802690583,0.5235732009925558,0.9813953488372092,0.6828478964401293,0.8311688311688312
12-24 months,206,0.2912621359223301,0.36477987421383645,0.9666666666666667,0.5296803652968036,0.6917808219178082
24-36 months,163,0.24539877300613497,0.41379310344827586,0.9,0.5669291338582677,0.4146341463414634
36-48 months,141,0.1702127659574468,0.2753623188405797,0.7916666666666666,0.40860215053763443,0.42735042735042733
