Segment,N,Churn Rate,Precision,Recall,F1,FPR
Month-to-month,773,0.425614489003881,0.44086021505376344,0.9969604863221885,0.6113699906803355,0.9369369369369369
Two year,336,0.026785714285714284,0.11764705882352941,0.2222222222222222,0.15384615384615383,0.045871559633027525
One year,300,0.12,0.2,0.5,0.28571428571428575,0.2727272727272727
