Segment,N,Churn Rate,Precision,Recall,F1,FPR
No,1187,0.2325189553496209,0.37631184407796103,0.9094202898550725,0.5323435843054083,0.4566410537870472
Yes,222,0.44144144144144143,0.5271739130434783,0.9897959183673469,0.6879432624113476,0.7016129032258065
